n,graphType,laplacianEntropy,adjacencyEntropy,entropyRatio,eulerCharacteristic,torusLatticeLaplacianRatio
98,Complete Bipartite,18756.449495,381.398389,49.178104,-2303,
98,Star Graph,449.326813,45.055678,9.972701,1,
98,Random Tree,219.990110,51.539746,4.268358,1,
98,Lattice,512.094447,109.136903,4.692221,-78,
99,Complete Graph,44581.852786,449.326813,99.219213,-4752,
99,Path Graph,195.227473,47.847998,4.080160,1,
99,Cycle Graph,198.000491,48.671265,4.068119,0,
99,Complete Bipartite,19188.032614,386.270536,49.675113,-2351,
99,Star Graph,454.916865,45.388862,10.022654,1,
99,Random Tree,225.879289,49.713753,4.543598,1,
99,Lattice,518.195928,110.605576,4.685080,-79,
100,Complete Graph,45591.184841,454.916865,100.218718,-4850,
100,Path Graph,197.227471,48.268981,4.086009,1,
100,Cycle Graph,200.000481,49.354562,4.052320,0,
100,Complete Bipartite,19629.429745,391.202301,50.177184,-2400,
100,Star Graph,460.517019,45.720865,10.072360,1,
100,Random Tree,222.971628,53.571445,4.162136,1,
100,Lattice,524.050387,112.186042,4.671262,-80,
1,Torus-Lattice,,,,,0.000000
4,Torus-Lattice,,,,,2.523719
9,Torus-Lattice,,,,,6.754888
16,Torus-Lattice,,,,,9.277148
25,Torus-Lattice,,,,,9.566134
36,Torus-Lattice,,,,,12.012662
49,Torus-Lattice,,,,,12.483781
64,Torus-Lattice,,,,,13.136226
81,Torus-Lattice,,,,,15.573006
100,Torus-Lattice,,,,,16.157089
121,Torus-Lattice,,,,,16.946813
144,Torus-Lattice,,,,,19.132372
169,Torus-Lattice,,,,,19.975440
196,Torus-Lattice,,,,,20.737040
