n,graphType,laplacianEntropy,adjacencyEntropy,entropyRatio,eulerCharacteristic,torusLatticeLaplacianRatio
55,Complete Bipartite,5048.913284,182.241008,27.704595,-701,
55,Star Graph,220.403325,29.312927,7.518981,1,
55,Random Tree,118.505769,26.048777,4.549379,1,
55,Lattice,271.290638,57.707693,4.701117,-40,
56,Complete Graph,12398.083207,220.403325,56.251797,-1484,
56,Path Graph,109.227603,26.616760,4.103715,1,
56,Cycle Graph,112.001534,27.803609,4.028309,0,
56,Complete Bipartite,5263.712914,186.603453,28.208015,-728,
56,Star Graph,225.419695,29.719178,7.584991,1,
56,Random Tree,123.023527,29.654486,4.148564,1,
56,Lattice,277.144536,58.682768,4.722758,-41,
57,Complete Graph,12905.419647,225.419695,57.250630,-1539,
57,Path Graph,111.227596,27.216701,4.086741,1,
57,Cycle Graph,114.001480,28.003054,4.071037,0,
57,Complete Bipartite,5479.494893,190.906374,28.702525,-755,
57,Star Graph,230.453922,30.122974,7.650437,1,
57,Random Tree,122.778907,27.876426,4.404399,1,
57,Lattice,279.519581,59.413015,4.704686,-41,
58,Complete Graph,13423.824593,230.453922,58.249495,-1595,
58,Path Graph,113.227590,27.601233,4.102266,1,
58,Cycle Graph,116.001430,28.425133,4.080946,0,
58,Complete Bipartite,5703.994123,195.303158,29.205847,-783,
58,Star Graph,235.505695,30.524368,7.715334,1,
58,Random Tree,129.209657,28.081849,4.601181,1,
58,Lattice,285.244568,60.908476,4.683167,-42,
59,Complete Graph,13953.333133,235.505695,59.248390,-1652,
59,Path Graph,115.227584,28.198451,4.086309,1,
59,Cycle Graph,118.001382,28.987528,4.070764,0,
59,Complete Bipartite,5929.476303,199.641868,29.700565,-811,
59,Star Graph,240.574709,30.923413,7.779695,1,
59,Random Tree,135.249888,28.405934,4.761325,1,
59,Lattice,291.333957,62.383338,4.670060,-43,
60,Complete Graph,14493.979750,240.574709,60.247313,-1710,
60,Path Graph,117.227578,28.585665,4.100922,1,
60,Cycle Graph,120.001336,29.758454,4.032512,0,
60,Complete Bipartite,6163.744118,204.071843,30.203795,-840,
60,Star Graph,245.660674,31.320159,7.843532,1,
60,Random Tree,132.096506,30.320409,4.356686,1,
60,Lattice,297.445797,63.858736,4.657872,-44,
61,Complete Graph,15045.798343,245.660674,61.246263,-1769,
61,Path Graph,119.227573,29.180307,4.085892,1,
61,Cycle Graph,122.001292,29.971960,4.070514,0,
61,Complete Bipartite,6398.995446,208.445115,30.698707,-869,
61,Star Graph,250.763306,31.714657,7.906859,1,
61,Random Tree,133.662662,31.210109,4.282672,1,
61,Lattice,303.560929,65.336529,4.646113,-45,
62,Complete Graph,15608.822244,250.763306,62.245240,-1829,
62,Path Graph,121.227568,29.570059,4.099673,1,
62,Cycle Graph,124.001251,30.396836,4.079413,0,
62,Complete Bipartite,6643.098532,212.907207,31.201849,-899,
62,Star Graph,255.882332,32.106951,7.969686,1,
62,Random Tree,136.397175,32.068635,4.253289,1,
62,Lattice,309.674829,66.819807,4.634477,-46,
63,Complete Graph,16183.084241,255.882332,63.244242,-1890,
63,Path Graph,123.227563,30.162261,4.085488,1,
63,Cycle Graph,126.001212,30.956354,4.070286,0,
63,Complete Bipartite,6888.185658,217.313896,31.696941,-929,
63,Star Graph,261.017488,32.497089,8.032027,1,
63,Random Tree,144.587431,34.730583,4.163116,1,
63,Lattice,315.775829,68.319906,4.622018,-47,
64,Complete Graph,16768.616592,261.017488,64.243269,-1952,
64,Path Graph,125.227558,30.554418,4.098509,1,
64,Cycle Graph,128.001174,31.714574,4.036036,0,
64,Complete Bipartite,7142.188548,221.807098,32.200000,-960,
64,Star Graph,266.168517,32.885112,8.093891,1,
64,Random Tree,140.826563,31.933609,4.409980,1,
64,Lattice,321.629943,69.938271,4.598769,-48,
65,Complete Graph,17365.451043,266.168517,65.242318,-2015,
65,Path Graph,127.227554,31.144305,4.085099,1,
65,Cycle Graph,130.001138,31.940712,4.070076,0,
65,Complete Bipartite,7397.175972,226.246133,32.695259,-991,
65,Star Graph,271.335173,33.271065,8.155290,1,
65,Random Tree,140.948952,34.384671,4.099180,1,
65,Lattice,323.612907,68.655532,4.713574,-48,
66,Complete Graph,17973.618843,271.335173,66.241389,-2079,
66,Path Graph,129.227549,31.538744,4.097422,1,
66,Cycle Graph,132.001104,32.368147,4.078117,0,
66,Complete Bipartite,7661.141183,230.769499,33.198240,-1023,
66,Star Graph,276.517213,33.654986,8.216233,1,
66,Random Tree,148.870282,35.198359,4.229467,1,
66,Lattice,329.702445,69.752755,4.726730,-49,
67,Complete Graph,18593.150763,276.517213,67.240482,-2144,
67,Path Graph,131.227545,32.126431,4.084722,1,
67,Cycle Graph,134.001071,32.925039,4.069883,0,
67,Complete Bipartite,7926.091391,235.239875,33.693656,-1055,
67,Star Graph,281.714405,34.036916,8.276731,1,
67,Random Tree,146.760985,36.867053,3.980817,1,
67,Lattice,335.814565,71.155999,4.719413,-50,
68,Complete Graph,19224.077105,281.714405,68.239596,-2210,
68,Path Graph,133.227541,32.523040,4.096405,1,
68,Cycle Graph,136.001040,33.671778,4.039022,0,
68,Complete Bipartite,8200.079541,239.792516,34.196562,-1088,
68,Star Graph,286.926524,34.416892,8.336793,1,
68,Random Tree,154.470006,34.042086,4.537619,1,
68,Lattice,341.930386,72.222890,4.734377,-51,
69,Complete Graph,19866.427720,286.926524,69.238729,-2277,
69,Path Graph,135.227538,33.108634,4.084359,1,
69,Cycle Graph,138.001010,33.909335,4.069706,0,
69,Complete Bipartite,8475.053126,244.293287,34.692125,-1121,
69,Star Graph,292.153349,34.794952,8.396429,1,
69,Random Tree,152.774574,36.580768,4.176363,1,
69,Lattice,348.046633,73.665608,4.724683,-52,
70,Complete Graph,20520.232019,292.153349,70.237881,-2345,
70,Path Graph,137.227534,33.507309,4.095451,1,
70,Cycle Graph,140.000981,34.339119,4.077011,0,
70,Complete Bipartite,8759.123053,248.874364,35.194959,-1155,
70,Star Graph,297.394667,35.171130,8.455647,1,
70,Random Tree,153.297483,36.709480,4.175964,1,
70,Lattice,354.160952,74.689236,4.741794,-53,
71,Complete Graph,21185.518989,297.394667,71.237051,-2414,
71,Path Graph,139.227531,34.090907,4.084008,1,
71,Cycle Graph,142.000954,34.893603,4.069541,0,
71,Complete Bipartite,9044.178827,253.404640,35.690660,-1189,
71,Star Graph,302.650271,35.545461,8.514456,1,
71,Random Tree,162.234364,34.845613,4.655805,1,
71,Lattice,360.262149,76.226174,4.726226,-54,
72,Complete Graph,21862.317200,302.650271,72.236239,-2484,
72,Path Graph,141.227527,34.491551,4.094554,1,
72,Cycle Graph,144.000928,35.629912,4.041574,0,
72,Complete Bipartite,9338.387685,258.013364,36.193426,-1224,
72,Star Graph,307.919961,35.917979,8.572864,1,
72,Random Tree,159.573605,35.646431,4.476566,1,
72,Lattice,366.116377,77.220004,4.741212,-55,
73,Complete Graph,22550.654823,307.919961,73.235443,-2555,
73,Path Graph,143.227524,35.073246,4.083669,1,
73,Cycle Graph,146.000902,35.877845,4.069389,0,
73,Complete Bipartite,9633.582780,262.572305,36.689257,-1259,
73,Star Graph,313.203539,36.288715,8.630880,1,
73,Random Tree,160.480770,36.032107,4.453827,1,
73,Lattice,368.491647,77.934351,4.728231,-55,
74,Complete Graph,23250.559633,313.203539,74.234664,-2627,
74,Path Graph,145.227521,35.475769,4.093710,1,
74,Cycle Graph,148.000878,36.309795,4.076059,0,
74,Complete Bipartite,9937.986136,267.207926,37.191959,-1295,
74,Star Graph,318.500817,36.657702,8.688510,1,
74,Random Tree,164.730610,37.213462,4.426640,1,
74,Lattice,374.216857,79.416293,4.712092,-56,
75,Complete Graph,23962.059030,318.500817,75.233901,-2700,
75,Path Graph,147.227518,36.055647,4.083341,1,
75,Cycle Graph,150.000855,36.862063,4.069247,0,
75,Complete Bipartite,10243.376097,271.794740,37.687911,-1331,
75,Star Graph,323.811609,37.024968,8.745763,1,
75,Random Tree,166.924186,40.943896,4.076900,1,
75,Lattice,380.306511,80.877233,4.702269,-57,
76,Complete Graph,24685.180040,323.811609,76.233153,-2774,
76,Path Graph,149.227515,36.459964,4.092914,1,
76,Cycle Graph,152.000833,37.588848,4.043775,0,
76,Complete Bipartite,10558.028015,276.456548,38.190551,-1368,
76,Star Graph,329.135734,37.390544,8.802646,1,
76,Random Tree,167.034393,40.249807,4.149943,1,
76,Lattice,386.418748,82.337996,4.693079,-58,
77,Complete Graph,25419.949329,329.135734,77.232420,-2849,
77,Path Graph,151.227513,37.038104,4.083025,1,
77,Cycle Graph,154.000811,37.846259,4.069116,0,
77,Complete Bipartite,10873.666887,281.070485,38.686620,-1405,
77,Star Graph,334.473017,37.754458,8.859166,1,
77,Random Tree,172.643126,38.775892,4.452331,1,
77,Lattice,392.534690,83.799795,4.684196,-59,
78,Complete Graph,26166.393213,334.473017,78.231701,-2925,
78,Path Graph,153.227510,37.444139,4.092163,1,
78,Cycle Graph,156.000790,38.280212,4.075233,0,
78,Complete Bipartite,11198.620008,285.757808,39.189200,-1443,
78,Star Graph,339.823288,38.116738,8.915330,1,
78,Random Tree,172.339125,39.362606,4.378245,1,
78,Lattice,398.651061,85.263767,4.675504,-60,
79,Complete Graph,26924.537667,339.823288,79.230996,-3002,
79,Path Graph,155.227508,38.020614,4.082720,1,
79,Cycle Graph,158.000771,38.830433,4.068993,0,
79,Complete Bipartite,11524.560414,290.398155,39.685377,-1481,
79,Star Graph,345.186380,38.477411,8.971144,1,
79,Random Tree,177.477396,43.448312,4.084794,1,
79,Lattice,404.765504,86.732560,4.666823,-61,
80,Complete Graph,27694.408331,345.186380,80.230304,-3080,
80,Path Graph,157.227505,38.428294,4.091452,1,
80,Cycle Graph,160.000751,39.548484,4.045686,0,
80,Complete Bipartite,11859.866028,295.110356,40.187902,-1520,
80,Star Graph,350.562131,38.836502,9.026614,1,
80,Random Tree,178.989949,40.498859,4.419629,1,
80,Lattice,410.866821,88.215760,4.657522,-62,
81,Complete Graph,28476.030522,350.562131,81.229625,-3159,
81,Path Graph,159.227503,39.003174,4.082424,1,
81,Cycle Graph,162.000733,39.814588,4.068879,0,
81,Complete Bipartite,12196.159243,299.776439,40.684182,-1559,
81,Star Graph,355.950382,39.194038,9.081748,1,
81,Random Tree,183.203767,40.927544,4.476295,1,
81,Lattice,416.721158,89.814025,4.639823,-63,
82,Complete Graph,29269.429240,355.950382,82.228959,-3239,
82,Path Graph,161.227501,39.412430,4.090778,1,
82,Cycle Graph,164.000715,40.250400,4.074511,0,
82,Complete Bipartite,12541.867357,304.512909,41.186652,-1599,
82,Star Graph,361.350978,39.550042,9.136551,1,
82,Random Tree,178.021531,41.559730,4.283510,1,
82,Lattice,418.704011,88.317925,4.740872,-63,
83,Complete Graph,30074.629177,361.350978,83.228304,-3320,
83,Path Graph,163.227499,39.985780,4.082139,1,
83,Cycle Graph,166.000698,40.798724,4.068772,0,
83,Complete Bipartite,12888.563373,309.204086,41.683031,-1639,
83,Star Graph,366.763770,39.904540,9.191029,1,
83,Random Tree,184.326536,42.666274,4.320193,1,
83,Lattice,424.793742,89.691486,4.736166,-64,
84,Complete Graph,30891.654722,366.763770,84.227662,-3402,
84,Path Graph,165.227496,40.396548,4.090139,1,
84,Cycle Graph,168.000682,41.508733,4.047358,0,
