n,graphType,laplacianEntropy,adjacencyEntropy,entropyRatio,eulerCharacteristic
19,Cycle Graph,0.000000,0.000000,0.000000,0
19,Complete Bipartite,0.000000,0.000000,0.000000,-71
19,Star Graph,0.000000,0.000000,0.000000,1
19,Random Tree,0.000000,0.000000,0.000000,1
19,Lattice,0.000000,0.000000,0.000000,-10
20,Complete Graph,0.000000,0.000000,0.000000,-170
20,Path Graph,0.000000,0.000000,0.000000,1
20,Cycle Graph,0.000000,0.000000,0.000000,0
20,Complete Bipartite,0.000000,0.000000,0.000000,-80
20,Star Graph,0.000000,0.000000,0.000000,1
20,Random Tree,0.000000,0.000000,0.000000,1
20,Lattice,0.000000,0.000000,0.000000,-11
21,Complete Graph,0.000000,0.000000,0.000000,-189
21,Path Graph,0.000000,0.000000,0.000000,1
21,Cycle Graph,0.000000,0.000000,0.000000,0
21,Complete Bipartite,0.000000,0.000000,0.000000,-89
21,Star Graph,0.000000,0.000000,0.000000,1
21,Random Tree,0.000000,0.000000,0.000000,1
21,Lattice,0.000000,0.000000,0.000000,-11
22,Complete Graph,0.000000,0.000000,0.000000,-209
22,Path Graph,0.000000,0.000000,0.000000,1
22,Cycle Graph,0.000000,0.000000,0.000000,0
22,Complete Bipartite,0.000000,0.000000,0.000000,-99
22,Star Graph,0.000000,0.000000,0.000000,1
22,Random Tree,0.000000,0.000000,0.000000,1
22,Lattice,0.000000,0.000000,0.000000,-12
23,Complete Graph,0.000000,0.000000,0.000000,-230
23,Path Graph,0.000000,0.000000,0.000000,1
23,Cycle Graph,0.000000,0.000000,0.000000,0
23,Complete Bipartite,0.000000,0.000000,0.000000,-109
23,Star Graph,0.000000,0.000000,0.000000,1
23,Random Tree,0.000000,0.000000,0.000000,1
23,Lattice,0.000000,0.000000,0.000000,-13
24,Complete Graph,0.000000,0.000000,0.000000,-252
24,Path Graph,0.000000,0.000000,0.000000,1
24,Cycle Graph,0.000000,0.000000,0.000000,0
24,Complete Bipartite,0.000000,0.000000,0.000000,-120
24,Star Graph,0.000000,0.000000,0.000000,1
24,Random Tree,0.000000,0.000000,0.000000,1
24,Lattice,0.000000,0.000000,0.000000,-14
25,Complete Graph,0.000000,0.000000,0.000000,-275
25,Path Graph,0.000000,0.000000,0.000000,1
25,Cycle Graph,0.000000,0.000000,0.000000,0
25,Complete Bipartite,0.000000,0.000000,0.000000,-131
25,Star Graph,0.000000,0.000000,0.000000,1
25,Random Tree,0.000000,0.000000,0.000000,1
25,Lattice,0.000000,0.000000,0.000000,-15
